Page URL,Pages with same meta description,Discovered
https://vitabletech.in/about.html,"https://vitabletech.in/services/custom-software.html, https://vitabletech.in/blog/ecommerce-seo-strategies-2026.html, https://vitabletech.in/contact.html, https://vitabletech.in/blog/website-development-cost-in-gwalior.html, https://vitabletech.in/services/ai-machine-learning.html, https://vitabletech.in/services/index.html, https://vitabletech.in/services/devops-cloud.html, https://vitabletech.in/services/mobile-app.html, https://vitabletech.in/services/ui-ux.html, https://vitabletech.in/insights.html",20 Jun 2026 (18:11 UTC)
https://vitabletech.in/blog/custom-software-development-benefits.html,"https://vitabletech.in/services/custom-software.html, https://vitabletech.in/blog/ecommerce-seo-strategies-2026.html, https://vitabletech.in/contact.html, https://vitabletech.in/blog/website-development-cost-in-gwalior.html, https://vitabletech.in/services/ai-machine-learning.html, https://vitabletech.in/services/index.html, https://vitabletech.in/services/devops-cloud.html, https://vitabletech.in/services/mobile-app.html, https://vitabletech.in/services/ui-ux.html, https://vitabletech.in/insights.html",20 Jun 2026 (18:11 UTC)
https://vitabletech.in/blog/ecommerce-seo-strategies-2026.html,"https://vitabletech.in/services/custom-software.html, https://vitabletech.in/contact.html, https://vitabletech.in/blog/website-development-cost-in-gwalior.html, https://vitabletech.in/services/ai-machine-learning.html, https://vitabletech.in/services/index.html, https://vitabletech.in/services/devops-cloud.html, https://vitabletech.in/services/mobile-app.html, https://vitabletech.in/services/ui-ux.html, https://vitabletech.in/insights.html, https://vitabletech.in/blog/custom-software-development-benefits.html",20 Jun 2026 (18:11 UTC)
https://vitabletech.in/blog/index.html,"https://vitabletech.in/services/custom-software.html, https://vitabletech.in/blog/ecommerce-seo-strategies-2026.html, https://vitabletech.in/contact.html, https://vitabletech.in/blog/website-development-cost-in-gwalior.html, https://vitabletech.in/services/ai-machine-learning.html, https://vitabletech.in/services/index.html, https://vitabletech.in/services/devops-cloud.html, https://vitabletech.in/services/mobile-app.html, https://vitabletech.in/services/ui-ux.html, https://vitabletech.in/insights.html",20 Jun 2026 (18:11 UTC)
https://vitabletech.in/blog/website-development-cost-in-gwalior.html,"https://vitabletech.in/services/custom-software.html, https://vitabletech.in/blog/ecommerce-seo-strategies-2026.html, https://vitabletech.in/contact.html, https://vitabletech.in/services/ai-machine-learning.html, https://vitabletech.in/services/index.html, https://vitabletech.in/services/devops-cloud.html, https://vitabletech.in/services/mobile-app.html, https://vitabletech.in/services/ui-ux.html, https://vitabletech.in/insights.html, https://vitabletech.in/blog/custom-software-development-benefits.html",20 Jun 2026 (18:11 UTC)
https://vitabletech.in/clients.html,"https://vitabletech.in/services/custom-software.html, https://vitabletech.in/blog/ecommerce-seo-strategies-2026.html, https://vitabletech.in/contact.html, https://vitabletech.in/blog/website-development-cost-in-gwalior.html, https://vitabletech.in/services/ai-machine-learning.html, https://vitabletech.in/services/index.html, https://vitabletech.in/services/devops-cloud.html, https://vitabletech.in/services/mobile-app.html, https://vitabletech.in/services/ui-ux.html, https://vitabletech.in/insights.html",20 Jun 2026 (18:11 UTC)
https://vitabletech.in/contact.html,"https://vitabletech.in/services/custom-software.html, https://vitabletech.in/blog/ecommerce-seo-strategies-2026.html, https://vitabletech.in/blog/website-development-cost-in-gwalior.html, https://vitabletech.in/services/ai-machine-learning.html, https://vitabletech.in/services/index.html, https://vitabletech.in/services/devops-cloud.html, https://vitabletech.in/services/mobile-app.html, https://vitabletech.in/services/ui-ux.html, https://vitabletech.in/insights.html, https://vitabletech.in/blog/custom-software-development-benefits.html",20 Jun 2026 (18:11 UTC)
https://vitabletech.in/insights.html,"https://vitabletech.in/services/custom-software.html, https://vitabletech.in/blog/ecommerce-seo-strategies-2026.html, https://vitabletech.in/contact.html, https://vitabletech.in/blog/website-development-cost-in-gwalior.html, https://vitabletech.in/services/ai-machine-learning.html, https://vitabletech.in/services/index.html, https://vitabletech.in/services/devops-cloud.html, https://vitabletech.in/services/mobile-app.html, https://vitabletech.in/services/ui-ux.html, https://vitabletech.in/blog/custom-software-development-benefits.html",20 Jun 2026 (18:11 UTC)
https://vitabletech.in/policies/privacy-policy.html,"https://vitabletech.in/services/custom-software.html, https://vitabletech.in/blog/ecommerce-seo-strategies-2026.html, https://vitabletech.in/contact.html, https://vitabletech.in/blog/website-development-cost-in-gwalior.html, https://vitabletech.in/services/ai-machine-learning.html, https://vitabletech.in/services/index.html, https://vitabletech.in/services/devops-cloud.html, https://vitabletech.in/services/mobile-app.html, https://vitabletech.in/services/ui-ux.html, https://vitabletech.in/insights.html",20 Jun 2026 (18:11 UTC)
https://vitabletech.in/policies/return-refund-policy.html,"https://vitabletech.in/services/custom-software.html, https://vitabletech.in/blog/ecommerce-seo-strategies-2026.html, https://vitabletech.in/contact.html, https://vitabletech.in/blog/website-development-cost-in-gwalior.html, https://vitabletech.in/services/ai-machine-learning.html, https://vitabletech.in/services/index.html, https://vitabletech.in/services/devops-cloud.html, https://vitabletech.in/services/mobile-app.html, https://vitabletech.in/services/ui-ux.html, https://vitabletech.in/insights.html",20 Jun 2026 (18:11 UTC)
